gname,glong,glat,radius,vlsr,e_vlsr,line,e_line,line_unit,beam_area,line_freq,fwhm,e_fwhm,te,e_te,source,author,telescope,kdar,Rgal,near,far,tangent,vlsr_tangent,plx,dist_author,te_priority
G011.944-00.039,11.9443,-0.0381286,98.8804,40.1,1.0,209.44000000000003,17.864,mJy/beam,146848.46859520106,8000.0,24.0,2.3,,500.0,WISE Catalog,Lockman (1989),NRAO 140',,4.300846009782542,4.024674674674671,11.96018918918918,7.991621621621614,106.92892340726453,,,0
G011.995-00.246,11.9953,-0.245555,162.081,47.2,1.4,184.8,21.560000000000002,mJy/beam,146848.46859520106,8000.0,24.2,3.2,,500.0,WISE Catalog,Lockman (1989),NRAO 140',,3.9378016344584252,4.445407407407403,11.552333333333324,7.991557557557551,107.82526317708023,,,0
G012.064-00.284,12.064,-0.284,42.5,48.4,0.2,9.36,0.13999999999999999,mJy/beam,6893.719775719162,8000.0,25.4,0.4,,500.0,WISE Catalog,Anderson et al. (2011),GBT,,3.8534980486548656,4.506334334334331,11.4585085085085,7.98383683683683,107.23942903192291,,,0
G012.199-00.034,12.199,-0.034,42.5,45.1,0.1,14.0,0.13999999999999999,mJy/beam,6893.719775719162,8000.0,24.5,0.3,,500.0,WISE Catalog,Anderson et al. (2011),GBT,,4.067209256995823,4.301345345345341,11.670973973973965,7.977859859859852,107.95564423314921,,,0
G012.302+00.416,12.3022,0.416113,132.341,29.9,0.1,13.52,0.128,mJy/beam,6893.719775719162,8000.0,23.8,0.3,,500.0,WISE Catalog,Anderson et al. (2011),GBT,,5.0796901163128325,3.219675675675673,12.711405405405394,7.979360360360354,108.36471703754066,,,0
G012.429-00.049,12.4299,-0.0481079,60.0,-18.4,1.8,80.08000000000001,10.472000000000001,mJy/beam,146848.46859520106,8000.0,27.8,4.4,,500.0,WISE Catalog,Lockman (1989),NRAO 140',F,12.447385134622632,,20.296203203203188,7.979583583583577,108.2019969598743,,,0
G012.474-01.140,12.4744,-1.13966,329.572,41.0,1.0,184.8,24.024,mJy/beam,146848.46859520106,8000.0,16.2,2.4,,500.0,WISE Catalog,Lockman (1989),NRAO 140',N,4.340832926927319,4.00018318318318,11.944463463463453,7.973145145145138,108.80155974757889,,,0
G012.476-01.102,12.476,-1.10193,152.051,41.0,1.0,184.8,24.024,mJy/beam,146848.46859520106,8000.0,16.2,2.4,,500.0,WISE Catalog,Lockman (1989),NRAO 140',N,4.36454118162721,3.983455455455452,11.961152152152142,7.973972972972966,109.01709759778484,,,0
G012.523-00.611,12.5232,-0.610114,503.509,40.0,2.2,221.76,15.4,mJy/beam,146848.46859520106,8000.0,33.2,3.0,,500.0,WISE Catalog,Lockman (1989),NRAO 140',,4.428769785482957,3.910401401401398,12.020573573573563,7.977297297297291,109.26873253631219,,,0
G012.742+00.390,12.7427,0.39075,537.408,20.7,1.1,258.72,16.016000000000002,mJy/beam,146848.46859520106,8000.0,20.6,1.6,,500.0,WISE Catalog,Lockman (1989),NRAO 140',N,5.8777209853011705,2.378884884884883,13.563594594594583,7.966775775775769,108.97007751342571,,,0
